
----------------------- 
-----------------------
 2021-06-07 00:02:46.167173 on binance
----------------------- 
-----------------------
Triangle: ETHUSDT ETHUSDC USDCUSDT, Gains : 0.05 percent, Type: short.
Triangle: ETHUSDT ETHBUSD BUSDUSDT, Gains : 0.05 percent, Type: short.
Triangle: ETHRUB ETHUSDT USDTRUB, Gains : 0.04 percent, Type: long.
Triangle: ETHTRY ETHUSDT USDTTRY, Gains : 0.04 percent, Type: long.
Triangle: ETHUSDT ETHEUR EURUSDT, Gains : 0.05 percent, Type: long.
Triangle: ETHUSDT ETHAUD AUDUSDT, Gains : 0.02 percent, Type: long.
Triangle: GRTUSDT GRTETH ETHUSDT, Gains : 0.07 percent, Type: short.
Triangle: XRPTRY XRPETH ETHTRY, Gains : 0.05 percent, Type: short.
Triangle: IOTAUSDT IOTABNB BNBUSDT, Gains : 0.05 percent, Type: long.
Triangle: ICXUSDT ICXBNB BNBUSDT, Gains : 0.11 percent, Type: short.
Triangle: MATICUSDT MATICBNB BNBUSDT, Gains : 0.06 percent, Type: short.
Triangle: ONEUSDT ONEBNB BNBUSDT, Gains : 0.09 percent, Type: short.
Triangle: MBLUSDT MBLBNB BNBUSDT, Gains : 0.45 percent, Type: long.
Triangle: SOLUSDT SOLBNB BNBUSDT, Gains : 0.17 percent, Type: short.
Triangle: KSMUSDT KSMBNB BNBUSDT, Gains : 0.49 percent, Type: short.
Triangle: ICPUSDT ICPBNB BNBUSDT, Gains : 0.03 percent, Type: short.
Triangle: NUUSDT NUBNB BNBUSDT, Gains : 0.01 percent, Type: long.
Triangle: ADATRY ADABTC BTCTRY, Gains : 0.05 percent, Type: short.
Triangle: ADAEUR ADABTC BTCEUR, Gains : 0.04 percent, Type: short.
Triangle: ADATRY ADAETH ETHTRY, Gains : 0.44 percent, Type: short.
Triangle: THETAEUR THETABNB BNBEUR, Gains : 0.03 percent, Type: long.
Triangle: ICXUSDT ICXBUSD BUSDUSDT, Gains : 0.35 percent, Type: short.
Triangle: LINKUSDT LINKUSDC USDCUSDT, Gains : 0.1 percent, Type: short.
Triangle: LINKUSDT LINKBUSD BUSDUSDT, Gains : 0.01 percent, Type: long.
Triangle: LINKUSDT LINKGBP GBPUSDT, Gains : 0.05 percent, Type: long.
Triangle: OMGUSDT OMGBUSD BUSDUSDT, Gains : 0.05 percent, Type: long.
Triangle: MATICEUR MATICBNB BNBEUR, Gains : 0.15 percent, Type: short.
Triangle: MATICBIDR MATICBNB BNBBIDR, Gains : 0.11 percent, Type: short.
Triangle: MATICBRL MATICBNB BNBBRL, Gains : 0.17 percent, Type: short.
Triangle: MATICBUSD MATICBTC BTCBUSD, Gains : 0.03 percent, Type: short.
Triangle: MATICRUB MATICBTC BTCRUB, Gains : 0.02 percent, Type: short.
Triangle: MATICEUR MATICBTC BTCEUR, Gains : 0.19 percent, Type: short.
Triangle: MATICBIDR MATICBTC BTCBIDR, Gains : 0.17 percent, Type: short.
Triangle: MATICBRL MATICBTC BTCBRL, Gains : 0.2 percent, Type: short.
Triangle: MATICUSDT MATICBUSD BUSDUSDT, Gains : 0.24 percent, Type: short.
Triangle: MATICRUB MATICUSDT USDTRUB, Gains : 0.03 percent, Type: long.
Triangle: MATICBIDR MATICUSDT USDTBIDR, Gains : 0.05 percent, Type: long.
Triangle: MATICBRL MATICUSDT USDTBRL, Gains : 0.3 percent, Type: short.
Triangle: TOMOBUSD TOMOBTC BTCBUSD, Gains : 0.09 percent, Type: short.
Triangle: BANDBUSD BANDBTC BTCBUSD, Gains : 0.01 percent, Type: short.
Triangle: BNBBUSD BNBEUR EURBUSD, Gains : 0.01 percent, Type: long.
Triangle: SOLBUSD SOLBNB BNBBUSD, Gains : 0.47 percent, Type: short.
Triangle: RUNEBUSD RUNEBNB BNBBUSD, Gains : 0.17 percent, Type: short.
